event,label,hint,regime,horizon,n_events,n_dates,mean_fwd,mean_cost,mean_net,win_net,mean_excess,median_excess,win_excess,net_excess,t_full,is_mean,t_is,oos_mean,t_oos,n_oos_events,year_consistency,n_years
ma5_x_ma20_up,MA5 上穿 MA20（金叉）,buy,any,1,3794,1627,0.00089429907,0.0023733524,-0.0014790536590267344,0.4269899841855561,3.867732067404656e-05,-0.0016813355614431202,0.4504480759093305,-0.0023346750933230073,-0.37701799164853705,-0.0012200027779647982,-2.190299560914737,0.0011743158705958068,1.7713083724179834,1689,0.6666666666666666,12
ma5_x_ma20_up,MA5 上穿 MA20（金叉）,buy,any,3,3793,1626,0.0012489712,0.0023731822,-0.0011242109316922275,0.4329027155286053,-0.00022025371844810736,-0.00337449973449111,0.44687582388610597,-0.0025934359332446507,-0.6989331590159269,-0.002186476958988846,-2.235100970023218,0.0015418850635827834,1.2640946577327903,1688,0.75,12
ma5_x_ma20_up,MA5 上穿 MA20（金叉）,buy,any,5,3790,1624,0.0021408969,0.0023734616,-0.00023256485359030615,0.4493403693931398,0.0006087045487287358,-0.004005806520581245,0.4488126649076517,-0.0017647570628401919,-0.38197250952866785,-0.0014843105409334746,-1.0862473829275814,0.0010477500602043873,0.7948763043416138,1685,0.5833333333333334,12
ma5_x_ma20_up,MA5 上穿 MA20（金叉）,buy,any,10,3780,1621,0.0053835227,0.0023743836,0.003009139167773322,0.4917989417989418,0.0010547030257449868,-0.006116276606917381,0.4433862433862434,-0.0013196805951728103,0.08366076520949807,-0.0016924216616901568,-0.9415312547496864,0.0024069454195602513,1.2570969956101306,1675,0.5,12
ma5_x_ma20_up,MA5 上穿 MA20（金叉）,buy,any,20,3758,1612,0.010875587,0.0023749415,0.008500645702918287,0.5010643959552954,0.0018189464898471694,-0.008242813870310783,0.4457158062799361,-0.0005559949932928223,0.3307681474712399,-0.0008282806296544667,-0.31510690153331167,0.0023786868211889455,1.1875002317313603,1653,0.5833333333333334,12
ma5_x_ma20_up,MA5 上穿 MA20（金叉）,buy,bull,1,2087,872,0.0018242596,0.0023763105,-0.0005520509593162824,0.4269286056540489,0.00013310335980585246,-0.0020814193412661552,0.4345951126018208,-0.002243207167518824,0.6574152027334212,-0.0008281905706178568,-1.157147040770658,0.0024024278786248126,2.1727451837242246,808,0.5,12
ma5_x_ma20_up,MA5 上穿 MA20（金叉）,buy,bull,3,2087,872,0.00476546,0.0023763105,0.002389149180811258,0.4475323430761859,0.0005482615992046668,-0.003374132327735424,0.44896981312889317,-0.0018280489281200098,0.7909807405837647,-0.0009349566441979756,-0.7717949721783106,0.003739841021442166,1.8959127426431543,808,0.4166666666666667,12
ma5_x_ma20_up,MA5 上穿 MA20（金叉）,buy,bull,5,2087,872,0.0048531247,0.0023763105,0.0024768139759976586,0.45280306660277914,0.0014530717849221158,-0.004360463470220566,0.4432199329180642,-0.0009232387424025607,0.8266307313529425,0.00010041924699590602,0.057817773586022,0.0027323774105661564,1.331331212361971,808,0.5,12
ma5_x_ma20_up,MA5 上穿 MA20（金叉）,buy,bull,10,2087,872,0.009332885,0.0023763105,0.0069565748374147305,0.4964063248682319,0.0030703077591736384,-0.006039663217961788,0.4494489698131289,0.0006939972318489619,1.3915331021618287,-0.00015748352781509744,-0.06878478230683437,0.006933392564118874,2.4320891023,808,0.6666666666666666,12
ma5_x_ma20_up,MA5 上穿 MA20（金叉）,buy,bull,20,2087,872,0.011286378,0.0023736754,0.008912702340129084,0.49448969813128896,0.00435529751404156,-0.008251845836639404,0.44896981312889317,0.0019816221639417583,1.547987744754945,0.0021947076971795027,0.5936861573518586,0.007181179171947461,2.134592193219431,808,0.5833333333333334,12
ma5_x_ma20_up,MA5 上穿 MA20（金叉）,buy,bear,1,1707,755,-0.00024268265,0.0023697366,-0.002612418998391534,0.4270650263620387,-7.676916067807934e-05,-0.0010604553390294313,0.46983011130638547,-0.002446505714779189,-1.4001638090895083,-0.0017923246743333661,-2.0518070343229398,0.00011483064087130132,0.14854483937975246,881,0.6666666666666666,12
ma5_x_ma20_up,MA5 上穿 MA20（金叉）,buy,bear,3,1706,754,-0.0030528523,0.0023693552,-0.005422207739895495,0.41500586166471276,-0.001160401120523922,-0.0033767938148230314,0.44431418522860494,-0.003529756298030726,-1.9310881445781574,-0.004014578448615617,-2.4070777922668047,-0.00035920411555273455,-0.24663858371933162,880,0.5833333333333334,12
ma5_x_ma20_up,MA5 上穿 MA20（金叉）,buy,bear,5,1703,752,-0.0011828956,0.0023699703,-0.003552866449215722,0.44509688784497947,-0.00042605436021758486,-0.0034125703386962414,0.4556664709336465,-0.002796024676284923,-1.5202189282938736,-0.0037991326430850633,-1.8204715030443694,-0.0004169520485957933,-0.23820966995805237,877,0.75,12
ma5_x_ma20_up,MA5 上穿 MA20（金叉）,buy,bear,10,1693,749,0.0005150529,0.0023720083,-0.001856955482280795,0.4861193148257531,-0.0014299792416298486,-0.006271167658269405,0.43591258121677495,-0.003801987524321089,-1.3957303580021292,-0.003934512865372156,-1.311135148585124,-0.0015596516834345416,-0.6245136662833042,867,0.5,12
ma5_x_ma20_up,MA5 上穿 MA20（金叉）,buy,bear,20,1671,740,0.010362529,0.002376523,0.007986006443876436,0.509275882704967,-0.0013488360281023774,-0.008221201598644257,0.44165170556552963,-0.0037253591298047097,-1.4603713627398975,-0.005243973605707339,-1.3010610335076476,-0.0019319060435080515,-0.7019649078831004,845,0.6666666666666666,12
ma5_x_ma20_dn,MA5 下穿 MA20（死叉）,sell,any,1,3822,1674,0.00012909438,0.0023748244,-0.0022457303430967377,0.4479330193615908,0.00012778023961521607,-0.0006909356452524662,0.4764521193092622,-0.0022470441297110177,0.3577288154970639,-0.0002524335668766587,-0.472747715756901,0.0006234840705927326,1.1404517995083565,1706,0.5,12
ma5_x_ma20_dn,MA5 下穿 MA20（死叉）,sell,any,3,3812,1672,4.199413e-05,0.002375472,-0.0023334780344224284,0.4556663168940189,9.491156089867944e-05,-0.0031250002793967724,0.4404512067156348,-0.0022805605432781994,0.3298010056477261,0.0006735518276772943,0.6628468334727772,-0.00032842925058995334,-0.3708169529867783,1696,0.5833333333333334,12
ma5_x_ma20_dn,MA5 下穿 MA20（死叉）,sell,any,5,3805,1670,0.00039751027,0.0023754586,-0.001977948239008142,0.46544021024967147,-0.0006139343760271419,-0.004440288990736008,0.43442838370565046,-0.0029893929760266887,-0.9087386649689999,-0.0007027149931654923,-0.5001868842959226,-0.0010667926001379485,-0.893345766633877,1689,0.5833333333333334,12
ma5_x_ma20_dn,MA5 下穿 MA20（死叉）,sell,any,10,3798,1666,0.0029494537,0.002373723,0.0005757307827442126,0.4710373880989995,-0.0004931095526353075,-0.0068987528793513775,0.432596103212217,-0.0028668326330170586,-0.8727852972907458,-0.0007887738414055822,-0.4744026883814552,-0.0014788133224756868,-0.7782355636714803,1682,0.5,12
ma5_x_ma20_dn,MA5 下穿 MA20（死叉）,sell,any,20,3775,1659,0.006171551,0.002374265,0.003797286142127138,0.4633112582781457,-0.00030746282278775974,-0.010828731581568718,0.43072847682119203,-0.002681727932907937,0.29069844068493395,0.003515358505716603,1.468465348080595,-0.0032606231884137185,-1.197996542578602,1659,0.6666666666666666,12
ma5_x_ma20_dn,MA5 下穿 MA20（死叉）,sell,bull,1,2011,893,9.266857e-05,0.0023736153,-0.002280946558309024,0.43460964694181997,0.00018076391756689257,-0.0005969852209091187,0.47886623570363,-0.0021928513622268466,-0.41210420633950523,-0.0006978160541989762,-1.1441871388851035,0.0005785979651424024,0.7271252929205251,807,0.4166666666666667,12
ma5_x_ma20_dn,MA5 下穿 MA20（死叉）,sell,bull,3,2011,893,0.000928006,0.0023736153,-0.0014456091504166002,0.4594728990551964,0.00038745061372321565,-0.0036515872925519943,0.4326205867727499,-0.0019861646660705237,-0.174635348991957,-0.00047775108952485357,-0.4457156458713215,0.00036567506272866247,0.26821774861665776,807,0.6666666666666666,12
ma5_x_ma20_dn,MA5 下穿 MA20（死叉）,sell,bull,5,2011,893,0.0006686422,0.0023736153,-0.0017049729210714874,0.45847836897066135,-0.0003125343460744848,-0.004621192812919617,0.42715067130780704,-0.002686149625868224,-0.9441080758192802,-0.002521807540433131,-1.714506861574808,0.0011478105631368269,0.6480553303547727,807,0.6666666666666666,12
ma5_x_ma20_dn,MA5 下穿 MA20（死叉）,sell,bull,10,2011,893,0.0036612696,0.0023736153,0.0012876541979480033,0.4714072600696171,0.0008132933028373907,-0.007483545690774918,0.4221780208851318,-0.0015603219769563486,-0.020402201900567355,-0.0010234267413776214,-0.5236014391483136,0.0015250409214216934,0.6947801584432132,807,0.5833333333333334,12
ma5_x_ma20_dn,MA5 下穿 MA20（死叉）,sell,bull,20,2011,893,0.010220948,0.0023706313,0.007850315936042835,0.47190452511188463,0.002308284433017666,-0.010795490816235542,0.4311287916459473,-6.234688924700547e-05,1.5792574884242048,0.005055448938632696,1.9305099173166358,0.001208969173157993,0.30335666696692065,807,0.75,12
ma5_x_ma20_dn,MA5 下穿 MA20（死叉）,sell,bear,1,1811,781,0.00016954292,0.0023761678,-0.002206624982085193,0.4627277747101049,6.894524438560733e-05,-0.0008988818153738976,0.47377139701822196,-0.0023072225577545095,0.8698664039433933,0.00037968480705735994,0.39609558019648006,0.0006628300773854654,0.8992900125391472,899,0.5833333333333334,12
ma5_x_ma20_dn,MA5 下穿 MA20（死叉）,sell,bear,3,1801,779,-0.0009473282,0.002377546,-0.003324874106457809,0.45141588006662964,-0.00023173809775214917,-0.0026945467106997967,0.4491948917268184,-0.002609284024472053,0.5798256024507977,0.0023075624783938844,1.21912686928949,-0.0009399439367542023,-0.7412695480960855,889,0.6666666666666666,12
ma5_x_ma20_dn,MA5 下穿 MA20（死叉）,sell,bear,5,1794,777,9.358298e-05,0.002377525,-0.0022839423105636674,0.47324414715719065,-0.0009517913772728462,-0.004247147589921951,0.44258639910813824,-0.0033293163492348213,-0.37834719533886213,0.0018790700023055059,0.7189001884725782,-0.0030278152485339327,-1.6904554724636065,882,0.5833333333333334,12
ma5_x_ma20_dn,MA5 下穿 MA20（死叉）,sell,bear,10,1787,773,0.0021484122,0.0023738442,-0.0002254320532797508,0.4706211527700056,-0.001963269677064852,-0.006179969757795334,0.4443200895355344,-0.004337113829381303,-1.0347884182470244,-0.00045573782451818285,-0.1357558685565504,-0.004166065962260491,-1.4065420708630256,875,0.6666666666666666,12
ma5_x_ma20_dn,MA5 下穿 MA20（死叉）,sell,bear,20,1764,766,0.0015551472,0.002378407,-0.0008232597283742606,0.45351473922902497,-0.0032894740084026754,-0.010944037698209286,0.4302721088435374,-0.005667880942842811,-1.0060849887552445,0.0013295530735830874,0.2887835607163385,-0.007332398428798422,-2.1218989474207315,852,0.5833333333333334,12
close_x_ma60_up,收盘站上 MA60,buy,any,1,3754,1713,0.0012061292,0.0023712467,-0.0011651173917732098,0.4179541822056473,0.00020475487275646735,-0.0014448071597144008,0.45098561534363346,-0.002166491820899381,0.04201416208312967,-0.0002316492858572748,-0.36620766491003337,0.00033878808586061806,0.4643684386904119,1727,0.4166666666666667,12
close_x_ma60_up,收盘站上 MA60,buy,any,3,3753,1712,0.0034884564,0.0023712069,0.0011172490816996645,0.46842525979216626,0.000631415122985823,-0.0026231026276946068,0.4606981081801226,-0.0017397917566299606,0.6522106847214512,0.0008794703135550462,0.8564090231562859,1.9004235095253367e-05,0.016514927943541115,1726,0.5833333333333334,12
close_x_ma60_up,收盘站上 MA60,buy,any,5,3751,1711,0.00257048,0.0023712583,0.00019922183915219532,0.4678752332711277,-0.00016245788526578846,-0.003239971585571766,0.45427885897094106,-0.00253371622045382,-0.4069371646102392,-1.7938671852287315e-06,-0.0013099523128073034,-0.000901813788270001,-0.6528067253683218,1724,0.3333333333333333,12
close_x_ma60_up,收盘站上 MA60,buy,any,10,3737,1708,0.005883003,0.0023717608,0.0035112425228979267,0.49157077869949156,0.0011428398784111753,-0.005628207698464394,0.451966818303452,-0.001228920905305861,-0.02512081031107338,-0.000150259041579351,-0.07554017540215589,0.00010484820828111484,0.04483204555514904,1710,0.5833333333333334,12
close_x_ma60_up,收盘站上 MA60,buy,any,20,3716,1699,0.010591475,0.002371978,0.00821949635129034,0.4771259418729817,0.0009158708137172837,-0.009720150846987963,0.4389128094725511,-0.0014561072009902816,-0.13061656859127777,-0.0009073792278955172,-0.2980537913472914,0.00044069398045759286,0.11133416615659777,1689,0.4166666666666667,12
close_x_ma60_up,收盘站上 MA60,buy,bull,1,2245,952,0.002296536,0.0023762404,-7.970444903447644e-05,0.42048997772828506,0.0007475490118936949,-0.0014120800187811255,0.45167037861915366,-0.0016286914334072418,1.2579470013135843,0.0003057374147467036,0.42297355824315613,0.001567583118884144,1.3469882134183777,908,0.6666666666666666,12
close_x_ma60_up,收盘站上 MA60,buy,bull,3,2245,952,0.005593736,0.0023762404,0.0032174953190041477,0.4717149220489978,0.000865491599667473,-0.0029946365393698215,0.45657015590200445,-0.0015107488456334636,0.8382442637735992,0.0011844274685921807,0.9620119405729589,0.0003873996387220712,0.2093425631244921,908,0.5833333333333334,12
close_x_ma60_up,收盘站上 MA60,buy,bull,5,2245,952,0.0042322394,0.0023762404,0.0018559988448733386,0.46815144766146993,-0.00010340171822365933,-0.003764354158192873,0.444543429844098,-0.002479642163524596,-0.14590155478328476,-0.0005079600246270434,-0.3561846324068384,0.00033022085731221297,0.1451745452684525,908,0.4166666666666667,12
close_x_ma60_up,收盘站上 MA60,buy,bull,10,2245,952,0.008702638,0.0023762404,0.006326397879946021,0.49755011135857463,0.0029533234855288718,-0.005274584516882896,0.4521158129175947,0.0005770830402279351,1.2281739721753397,0.0008165700981351221,0.4188551328218133,0.004569158376970245,1.2689856818745244,908,0.6666666666666666,12
close_x_ma60_up,收盘站上 MA60,buy,bull,20,2245,952,0.011798053,0.0023733452,0.009424707803339542,0.4717149220489978,0.0025178888545087427,-0.00998000055551529,0.4316258351893096,0.00014454365826164182,0.8402373653567757,0.001478131875047607,0.5215426141052847,0.004401759139917015,0.6709104370849299,908,0.6666666666666666,12
close_x_ma60_up,收盘站上 MA60,buy,bear,1,1509,761,-0.00041611277,0.002363817,-0.002779929887762909,0.414181577203446,-0.0006027818021030925,-0.0017348919063806534,0.44996686547382375,-0.002966598869919946,-1.3174281046806116,-0.001062026075886295,-0.9102055507601544,-0.0008453234914165979,-0.9809900099375435,819,0.75,12
close_x_ma60_up,收盘站上 MA60,buy,bear,3,1508,760,0.00035426984,0.0023637135,-0.0020094437583192777,0.4635278514588859,0.0002829392011354885,-0.002077387645840645,0.46684350132625996,-0.0020807742570449392,0.027853332575058648,0.00040824662452160145,0.2248847095554217,-0.00033691944913794773,-0.24276145861120935,818,0.6666666666666666,12
close_x_ma60_up,收盘站上 MA60,buy,bear,5,1506,759,9.3289265e-05,0.0023638313,-0.0022705420239580083,0.4674634794156706,-0.00025049314091623985,-0.0024495619582012296,0.46879150066401065,-0.002614324411402356,-0.4227446309616283,0.0007803405409894904,0.2852568828100198,-0.0020952468261577336,-1.2968110064540095,816,0.6666666666666666,12
close_x_ma60_up,收盘站上 MA60,buy,bear,10,1492,756,0.0016403216,0.0023650199,-0.0007246983461188098,0.48257372654155495,-0.0015813797583041256,-0.0061706723645329475,0.4517426273458445,-0.003946399629226095,-1.232864503146819,-0.0016442157707658096,-0.42931278673056744,-0.00425372829851801,-1.5000569133704285,802,0.6666666666666666,12
close_x_ma60_up,收盘站上 MA60,buy,bear,20,1471,747,0.008750027,0.0023698912,0.006380135569610901,0.48538409245411285,-0.0015290853396320195,-0.009277701377868652,0.45003399048266485,-0.003898976493280515,-1.172557351529091,-0.004593501437496461,-0.8430305734263892,-0.003520371179001831,-0.8411488504531109,781,0.5833333333333334,12
close_x_ma60_dn,收盘跌破 MA60,sell,any,1,3780,1613,0.00029722223,0.0023716246,-0.002074402170348558,0.441005291005291,-0.00027112486261305296,-0.001123619731515646,0.4605820105820106,-0.0026427494404035515,-1.0268219721159246,-6.208576273290765e-05,-0.1055773659172849,-0.000850297801577667,-1.53344705698118,1752,0.6666666666666666,12
close_x_ma60_dn,收盘跌破 MA60,sell,any,3,3775,1611,-0.00051788875,0.0023716872,-0.0028895763017195556,0.45059602649006625,-0.0006949390597824186,-0.003306310623884201,0.44026490066225166,-0.00306662626901606,-1.6058271468995495,0.00028963612618740977,0.30889889039305707,-0.0028333752219989604,-2.730912269706,1747,0.6666666666666666,12
close_x_ma60_dn,收盘跌破 MA60,sell,any,5,3765,1609,0.00017766286,0.002371684,-0.002194021138574623,0.4674634794156706,-0.0006456960574491877,-0.004138272255659103,0.450199203187251,-0.003017380007053818,-1.6631014463507927,6.965714618176384e-05,0.06547961471170688,-0.0031524395821993356,-2.420504452359794,1737,0.75,12
close_x_ma60_dn,收盘跌破 MA60,sell,any,10,3754,1604,0.0028079725,0.002370173,0.00043779936793175494,0.4730953649440597,-0.0005102327947091007,-0.00687925610691309,0.43500266382525304,-0.0028804059062670613,-1.2603115340040658,1.823658196205768e-05,0.009321745093270824,-0.004160416222931911,-1.8650143905272392,1726,0.6666666666666666,12
close_x_ma60_dn,收盘跌破 MA60,sell,any,20,3734,1595,0.0042554312,0.0023701552,0.0018852758366993553,0.46009641135511514,-0.0015736165349910472,-0.011512652039527893,0.4220674879485806,-0.003943771718589446,-1.577450170411264,-0.005090837953601896,-1.6946799578169125,-0.001973696089064478,-0.5375715275012375,1706,0.6666666666666666,12
close_x_ma60_dn,收盘跌破 MA60,sell,bull,1,1980,846,0.0005397372,0.002369101,-0.0018293638001385703,0.4287878787878788,-0.00010850559532756428,-0.0008908016607165337,0.4631313131313131,-0.0024776065217714987,-0.9675248129442949,-0.0002515483785903621,-0.3837438759936537,-0.0008792671126100889,-1.0386746925901398,819,0.6666666666666666,12
close_x_ma60_dn,收盘跌破 MA60,sell,bull,3,1980,846,0.0021962977,0.002369101,-0.0001728032719954787,0.46515151515151515,0.00032870983905564625,-0.0027236738242208958,0.4404040404040404,-0.0020403910873882884,0.3420636176922962,0.0003036363562395527,0.27696729647042295,0.0002960945723490319,0.20222437538800966,819,0.5833333333333334,12
